,dataset,participant,task,step_size,ablation,landmarks,RMSD,mean_motion,std_motion,mean_T2,std_T2,warnings,UCL,task_code,Timestamp,Participant Number (Experimenter Only),"Kind of Experiment  (SUI, LGP, etc.) (Experimenter Only)",Mental Demand ,Physical Demand ,Temporal Demand ,Performance,Effort,Frustration ,average
28,Assembly,S02,SGP_posture.csv,2,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.347722507,0.432022764,0.347722507,98.90050247,79.5166161,227,138.8128958,SGP,2023/07/26 2:40:14 PM MDT,S02,SGP,10,10,20,20,10,10,13.33333333
29,Assembly,S02,SGP_posture.csv,2,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.170569497,0.176327199,0.170569497,23.9758794,34.14338526,180,37.59198915,SGP,2023/07/26 2:40:14 PM MDT,S02,SGP,10,10,20,20,10,10,13.33333333
30,Assembly,S02,SGP_posture.csv,2,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.206951027,0.22141973,0.206951027,35.9638191,44.84657232,202,53.3807647,SGP,2023/07/26 2:40:14 PM MDT,S02,SGP,10,10,20,20,10,10,13.33333333
31,Assembly,S02,SGP_posture.csv,2,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.046094709,0.064415078,0.046094709,29.96984925,34.1951474,168,45.5021788,SGP,2023/07/26 2:40:14 PM MDT,S02,SGP,10,10,20,20,10,10,13.33333333
32,Assembly,S02,SGP_posture.csv,4,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.471833401,0.624647692,0.471833401,98.90030203,67.10042042,216,138.8481437,SGP,2023/07/26 2:40:14 PM MDT,S02,SGP,10,10,20,20,10,10,13.33333333
33,Assembly,S02,SGP_posture.csv,4,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.218125166,0.251313399,0.218125166,23.97583082,28.9233073,183,37.59443204,SGP,2023/07/26 2:40:14 PM MDT,S02,SGP,10,10,20,20,10,10,13.33333333
34,Assembly,S02,SGP_posture.csv,4,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.268636853,0.317711151,0.268636853,35.96374622,38.77025581,212,53.38577667,SGP,2023/07/26 2:40:14 PM MDT,S02,SGP,10,10,20,20,10,10,13.33333333
35,Assembly,S02,SGP_posture.csv,4,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.058663287,0.091040307,0.058663287,29.96978852,29.76109861,161,45.50579228,SGP,2023/07/26 2:40:14 PM MDT,S02,SGP,10,10,20,20,10,10,13.33333333
36,Assembly,S02,LUP_posture.csv,1,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.509176188,0.607068688,0.509176188,98.88115247,96.32709295,210,142.2983555,LUP,2023/07/26 2:43:32 PM MDT,S02,LUP,10,100,10,10,80,10,36.66666667
37,Assembly,S02,LUP_posture.csv,1,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.197897542,0.176237883,0.197897542,23.97118848,47.73534475,131,37.82926003,LUP,2023/07/26 2:43:32 PM MDT,S02,LUP,10,100,10,10,80,10,36.66666667
38,Assembly,S02,LUP_posture.csv,1,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.235825515,0.225669339,0.235825515,35.95678271,57.515178,161,53.86888336,LUP,2023/07/26 2:43:32 PM MDT,S02,LUP,10,100,10,10,80,10,36.66666667
39,Assembly,S02,LUP_posture.csv,1,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.243077703,0.227477333,0.243077703,29.96398559,45.0790944,166,45.85361963,LUP,2023/07/26 2:43:32 PM MDT,S02,LUP,10,100,10,10,80,10,36.66666667
40,Assembly,S02,LUP_posture.csv,2,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.759286684,0.958936035,0.759286684,98.88100963,82.85100251,215,142.3247166,LUP,2023/07/26 2:43:32 PM MDT,S02,LUP,10,100,10,10,80,10,36.66666667
41,Assembly,S02,LUP_posture.csv,2,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.290382583,0.280269318,0.290382583,23.97115385,39.97925802,154,37.83102211,LUP,2023/07/26 2:43:32 PM MDT,S02,LUP,10,100,10,10,80,10,36.66666667
42,Assembly,S02,LUP_posture.csv,2,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.349514106,0.36227542,0.349514106,35.95673077,48.91092371,179,53.87251835,LUP,2023/07/26 2:43:32 PM MDT,S02,LUP,10,100,10,10,80,10,36.66666667
43,Assembly,S02,LUP_posture.csv,2,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.327830119,0.34111007,0.327830119,29.96394231,37.77099676,177,45.85623318,LUP,2023/07/26 2:43:32 PM MDT,S02,LUP,10,100,10,10,80,10,36.66666667
44,Assembly,S02,LUP_posture.csv,4,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",1.122013684,1.489514647,1.122013684,98.88072288,71.67817473,203,142.3776579,LUP,2023/07/26 2:43:32 PM MDT,S02,LUP,10,100,10,10,80,10,36.66666667
45,Assembly,S02,LUP_posture.csv,4,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.420760197,0.446445978,0.420760197,23.97108434,35.06836571,165,37.83455948,LUP,2023/07/26 2:43:32 PM MDT,S02,LUP,10,100,10,10,80,10,36.66666667
46,Assembly,S02,LUP_posture.csv,4,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.513803201,0.582182614,0.513803201,35.95662651,42.9072899,191,53.87981603,LUP,2023/07/26 2:43:32 PM MDT,S02,LUP,10,100,10,10,80,10,36.66666667
47,Assembly,S02,LUP_posture.csv,4,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.422929492,0.482980474,0.422929492,29.96385542,33.2159728,189,45.86148002,LUP,2023/07/26 2:43:32 PM MDT,S02,LUP,10,100,10,10,80,10,36.66666667
48,Assembly,S02,LGP_posture.csv,1,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.512204785,0.616467617,0.512204785,98.89708941,98.03795421,237,139.4156069,LGP,2023/07/26 2:43:56 PM MDT,S02,LGP,50,100,40,10,100,10,51.66666667
49,Assembly,S02,LGP_posture.csv,1,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.169491557,0.154208063,0.169491557,23.97505198,48.64404776,157,37.63363663,LGP,2023/07/26 2:43:56 PM MDT,S02,LGP,50,100,40,10,100,10,51.66666667
50,Assembly,S02,LGP_posture.csv,1,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.20881105,0.204436295,0.20881105,35.96257796,60.68754217,193,53.46624966,LGP,2023/07/26 2:43:56 PM MDT,S02,LGP,50,100,40,10,100,10,51.66666667
51,Assembly,S02,LGP_posture.csv,1,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.264127163,0.255436949,0.264127163,29.96881497,42.3229105,201,45.56379689,LGP,2023/07/26 2:43:56 PM MDT,S02,LGP,50,100,40,10,100,10,51.66666667
52,Assembly,S02,LGP_posture.csv,2,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.726061481,0.940069537,0.726061481,98.8969823,83.17213227,251,139.4345991,LGP,2023/07/26 2:43:56 PM MDT,S02,LGP,50,100,40,10,100,10,51.66666667
53,Assembly,S02,LGP_posture.csv,2,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.241910576,0.24328591,0.241910576,23.97502601,40.57707257,181,37.63494474,LGP,2023/07/26 2:43:56 PM MDT,S02,LGP,50,100,40,10,100,10,51.66666667
54,Assembly,S02,LGP_posture.csv,2,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.301812481,0.325639281,0.301812481,35.96253902,51.54270625,201,53.46893599,LGP,2023/07/26 2:43:56 PM MDT,S02,LGP,50,100,40,10,100,10,51.66666667
55,Assembly,S02,LGP_posture.csv,2,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.336466194,0.361182404,0.336466194,29.96878252,35.15661627,202,45.56573272,LGP,2023/07/26 2:43:56 PM MDT,S02,LGP,50,100,40,10,100,10,51.66666667
56,Assembly,S02,LGP_posture.csv,4,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",1.051887066,1.450484742,1.051887066,98.89676746,71.38024595,240,139.4727176,LGP,2023/07/26 2:43:56 PM MDT,S02,LGP,50,100,40,10,100,10,51.66666667
57,Assembly,S02,LGP_posture.csv,4,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.355733297,0.390668283,0.355733297,23.97497393,33.09335345,189,37.63756939,LGP,2023/07/26 2:43:56 PM MDT,S02,LGP,50,100,40,10,100,10,51.66666667
58,Assembly,S02,LGP_posture.csv,4,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.449781632,0.527626905,0.449781632,35.9624609,42.99718513,213,53.47432622,LGP,2023/07/26 2:43:56 PM MDT,S02,LGP,50,100,40,10,100,10,51.66666667
59,Assembly,S02,LGP_posture.csv,4,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.43279145,0.506167122,0.43279145,29.96871741,29.73436869,203,45.56961698,LGP,2023/07/26 2:43:56 PM MDT,S02,LGP,50,100,40,10,100,10,51.66666667
60,Assembly,S02,SUP_posture.csv,1,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.370249193,0.323909604,0.370249193,98.85816632,92.97561594,152,146.6656683,SUP,2023/07/26 2:41:50 PM MDT,S02,SUP,10,10,10,10,10,10,10
61,Assembly,S02,SUP_posture.csv,1,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.159082352,0.126406108,0.159082352,23.96561605,36.36402332,131,38.11481512,SUP,2023/07/26 2:41:50 PM MDT,S02,SUP,10,10,10,10,10,10,10
62,Assembly,S02,SUP_posture.csv,1,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.205859412,0.165035119,0.205859412,35.94842407,49.72557899,142,54.45988964,SUP,2023/07/26 2:41:50 PM MDT,S02,SUP,10,10,10,10,10,10,10
