dataset,participant,task,step_size,ablation,landmarks,RMSD,mean_motion,std_motion,mean_T2,std_T2,warnings,UCL
G-AI-HMS,S01,task_8.csv,4,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.38213894676718374,0.5589868066054305,0.38213894676718374,35.970755483384046,31.327518395887097,245,52.907766269202796
G-AI-HMS,S01,task_8.csv,4,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.4736102843293947,0.4601580212703829,0.4736102843293947,29.975629569417368,31.060227941568016,282,45.16070175986015
G-AI-HMS,S01,task_4.csv,1,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.3888533940697841,0.5549680355309374,0.3888533940697841,98.90360261208598,88.16298030894482,163,138.26980292573018
G-AI-HMS,S01,task_4.csv,1,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.13285562755361618,0.17056805598549787,0.13285562755361618,23.97663096396242,29.481597622362035,166,37.5542350700421
G-AI-HMS,S01,task_4.csv,1,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.16583068748183388,0.22055431221838093,0.16583068748183388,35.96494644601456,39.116141740873125,174,53.303342123091426
G-AI-HMS,S01,task_4.csv,1,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.1428140194935539,0.17154213245649008,0.1428140194935539,29.9707887049899,45.12513476489948,142,45.44634653098507
G-AI-HMS,S01,task_4.csv,2,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.45425364183434663,0.6633270201347574,0.45425364183434663,98.90350876986386,83.23405627527026,152,138.28620122263288
G-AI-HMS,S01,task_4.csv,2,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.14667846319163366,0.20107786630144703,0.14667846319163366,23.976608187111278,26.383120047430115,157,37.55537818619451
G-AI-HMS,S01,task_4.csv,2,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.18418394116149117,0.26099048763686356,0.18418394116149117,35.96491228052582,35.484233368549894,171,53.305685331604444
G-AI-HMS,S01,task_4.csv,2,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.16786099810471225,0.20617586429830348,0.16786099810471225,29.97076023387245,43.37162262473328,138,45.448036662077264
G-AI-HMS,S01,task_4.csv,4,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.5630758627030009,0.8440873436073997,0.5630758627030009,98.90332053526564,78.61410259957961,144,138.31910527450967
G-AI-HMS,S01,task_4.csv,4,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.17372938849798594,0.249196284848811,0.17372938849798594,23.976562500018897,23.704636918636535,155,37.55767131440883
G-AI-HMS,S01,task_4.csv,4,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.22221682926309377,0.3276452402382374,0.22221682926309377,35.964843750206185,32.05910406059326,163,53.31038607019577
G-AI-HMS,S01,task_4.csv,4,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.20733429360046937,0.25758302409751066,0.20733429360046937,29.970703124974285,42.81241694402493,133,45.45142718700011
G-AI-HMS,S01,task_5.csv,1,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.8952136046176078,1.0047172390928376,0.8952136046176078,98.87624999826116,82.23153101349358,176,143.20851384164644
G-AI-HMS,S01,task_5.csv,1,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.28095661973746333,0.3832157604283914,0.28095661973746333,23.969999999981884,28.28846213991887,177,37.88982336322727
G-AI-HMS,S01,task_5.csv,1,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.34215263282082453,0.4701035102380074,0.34215263282082453,35.9549999999851,37.240634001392834,174,53.99390419469105
G-AI-HMS,S01,task_5.csv,1,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.47194160776058797,0.34004756369881917,0.47194160776058797,29.96250000002003,36.85762351785841,166,45.943478463711116
G-AI-HMS,S01,task_5.csv,2,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.9260509375555769,1.189636582327966,0.9260509375555769,98.87609513193762,72.92104381152149,158,143.23745196299686
G-AI-HMS,S01,task_5.csv,2,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.30032800114871594,0.44866801733408623,0.30032800114871594,23.96996245302884,26.528925507093724,150,37.89173969254987
G-AI-HMS,S01,task_5.csv,2,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.35910788089619305,0.5509633595825258,0.35910788089619305,35.95494367949232,33.27223713096184,160,53.99786292618169
G-AI-HMS,S01,task_5.csv,2,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.5174175656845079,0.41190120968291694,0.5174175656845079,29.9624530663661,31.156912145678007,159,45.94632277510208
G-AI-HMS,S01,task_5.csv,4,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.9714160425443331,1.485836793840607,0.9714160425443331,98.87578421441717,66.75366939467257,128,143.29558029432667
G-AI-HMS,S01,task_5.csv,4,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.34373463482302485,0.5523342008864408,0.34373463482302485,23.969887076544047,23.93099502290592,144,37.89558732985412
G-AI-HMS,S01,task_5.csv,4,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.40758548646244064,0.6829704165285813,0.40758548646244064,35.954830614875846,30.298037334718646,150,54.00581186096513
G-AI-HMS,S01,task_5.csv,4,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.5475726416759944,0.515942233734702,0.5475726416759944,29.962358845659352,25.422943019562144,140,45.95203381919391
G-AI-HMS,S01,task_7.csv,1,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.6372893392115344,0.6836352581934825,0.6372893392115344,98.43428557287045,28.342553063996387,0,327.2551573470312
G-AI-HMS,S01,task_7.csv,1,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.1408278015582273,0.18704697957834074,0.1408278015582273,23.862857142832894,19.675051940800735,27,44.215518892091595
G-AI-HMS,S01,task_7.csv,1,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.19451198541339598,0.2513022344592215,0.19451198541339598,35.79428571412759,22.813585662631866,20,68.08199115613054
G-AI-HMS,S01,task_7.csv,1,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.260858646415739,0.2205812484841437,0.260858646415739,29.828571428740712,24.908078718394506,25,55.683857012093505
G-AI-HMS,S01,task_7.csv,2,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.7784041846006212,0.9060784949656095,0.7784041846006212,98.43103486226818,24.11331579930258,0,330.264401225661
G-AI-HMS,S01,task_7.csv,2,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.17446611425296452,0.24570569260890593,0.17446611425296452,23.86206896548714,17.348418400690235,19,44.26937868259477
G-AI-HMS,S01,task_7.csv,2,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.2376840113501902,0.33225356270288076,0.2376840113501902,35.79310344812202,20.133542348765832,14,68.2113210868839
G-AI-HMS,S01,task_7.csv,2,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.32103162109457617,0.2868743717762813,0.32103162109457617,29.827586207003982,20.797978801712027,22,55.76989998206932
G-AI-HMS,S01,task_7.csv,4,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.9464960635293653,1.2371534234865764,0.9464960635293653,98.4244184333482,19.367958769509567,0,336.5540412968462
G-AI-HMS,S01,task_7.csv,4,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.22124703497170678,0.3293896584082936,0.22124703497170678,23.860465116258197,14.99205130080744,17,44.379358674429135
G-AI-HMS,S01,task_7.csv,4,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.2954399834826636,0.44944876974949055,0.2954399834826636,35.79069767427156,17.29995805168634,7,68.47593531137048
G-AI-HMS,S01,task_7.csv,4,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.40090324978045333,0.3930643675542083,0.40090324978045333,29.825581395684143,18.649976531285695,16,55.94576498768806
G-AI-HMS,S01,task_6.csv,1,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.30322982866538806,0.4952338871184289,0.30322982866538806,98.3172409547515,23.30202909807634,0,483.1090043706783
G-AI-HMS,S01,task_6.csv,1,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.143272728950626,0.18122429026863268,0.143272728950626,23.83448275859747,19.243945195447722,18,46.235284188997234
G-AI-HMS,S01,task_6.csv,1,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.17260621385711447,0.22837723943988777,0.17260621385711447,35.75172413794938,22.560056611701615,10,73.0503414925411
G-AI-HMS,S01,task_6.csv,1,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.08953195763848854,0.1348457748020493,0.08953195763848854,29.793103448308617,20.770213977264817,14,58.947842099563736
G-AI-HMS,S01,task_6.csv,2,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.40962116615428534,0.6590673760677177,0.40962116615428534,98.31250042285302,17.065604842759157,0,492.40794862407193
G-AI-HMS,S01,task_6.csv,2,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.20286064923927039,0.2608901219551216,0.20286064923927039,23.833333333283555,16.494736459286308,15,46.320754432858145
G-AI-HMS,S01,task_6.csv,2,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.2426943315459498,0.32626489991534796,0.2426943315459498,35.74999999998775,18.792874126259935,7,73.26607501383207
